#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         291     1.93038     1.83134   0.0240951
         292     2.13741     1.83238   0.0240354
         293     2.16195     1.83351   0.0239797
         294     2.12954     1.83452   0.0239192
         295     2.22226     1.83583   0.0238742
         296     2.06827     1.83662   0.0238065
         297     2.25289     1.83802   0.0237676
         298     2.32084     1.83964    0.023743
         299     2.84246     1.84299   0.0238993
         300     2.00881     1.84354    0.023826
         301     2.61099     1.84609   0.0238829
         302     2.79859     1.84925   0.0240111
         303     2.85981     1.85258   0.0241624
         304     2.92561     1.85611   0.0243394
         305     2.51151     1.85826   0.0243543
         306     1.96586     1.85861   0.0242772
         307     1.75583     1.85828   0.0242004
         308     1.85591     1.85827   0.0241219
         309     1.79236     1.85806   0.0240447
         310     2.36034     1.85968   0.0240217
         311     2.25375     1.86094   0.0239779
         312     1.97501     1.86131   0.0239038
         313     2.21769     1.86245   0.0238545
         314      1.7733     1.86216   0.0237802
         315     2.00214     1.86261   0.0237089
         316      2.1842     1.86363   0.0236557
         317     2.54609     1.86578   0.0236788
         318     2.82984     1.86881   0.0237977
         319     3.06469     1.87256   0.0240165
         320     2.56839     1.87473   0.0240397
         321     2.67377     1.87722   0.0240934
         322     2.14179     1.87805   0.0240325
         323     1.95774     1.87829   0.0239594
         324     2.15233     1.87914   0.0239004
         325     1.84985     1.87905    0.023827
         326     1.49877     1.87788   0.0237824
         327     1.76134     1.87752   0.0237124
         328     2.12563     1.87828   0.0236522
         329     2.25043     1.87941   0.0236073
         330     2.27825     1.88062   0.0235667
         331     2.02885     1.88107   0.0234997
         332     2.00703     1.88145    0.023432
         333      2.0276     1.88189   0.0233658
         334      2.0419     1.88237   0.0233007
         335     2.42881       1.884   0.0232882
         336     2.60463     1.88614   0.0233174
         337     2.23105     1.88717   0.0232707
         338     2.13916     1.88791   0.0232138
         339     1.76655     1.88755   0.0231481
         340     1.83646      1.8874   0.0230805
         341     1.49516     1.88625   0.0230414
         342      1.6344     1.88552   0.0229858
         343     1.78781     1.88523   0.0229206
         344     2.37129     1.88664   0.0228975
         345     2.16527     1.88745   0.0228453
         346     2.01972     1.88783   0.0227825
         347      2.0064     1.88818   0.0227194
         348     2.24995     1.88922   0.0226779
         349     2.30864     1.89042   0.0226447
         350     2.00412     1.89074   0.0225824
         351     1.79168     1.89046   0.0225198
         352     2.18256     1.89129   0.0224711
         353     2.45819      1.8929   0.0224647
         354     2.58103     1.89484   0.0224852
         355     2.44605     1.89639   0.0224754
         356     2.58984     1.89834   0.0224966
         357     2.64279     1.90043     0.02253
         358     2.57335     1.90231   0.0225453
         359      2.0926     1.90284   0.0224888
         360     2.32051       1.904   0.0224562
         361     2.17709     1.90475   0.0224067
         362     2.30673     1.90586   0.0223723
         363     2.39313      1.9072   0.0223509
         364     2.60374     1.90912   0.0223713
         365     2.78168     1.91151   0.0224374
         366     2.67487     1.91359   0.0224728
         367     2.39266      1.9149   0.0224494
         368     2.19169     1.91565    0.022401
         369     2.22492     1.91649    0.022356
         370     2.21447      1.9173   0.0223101
         371     2.49478     1.91885   0.0223042
         372     2.32129     1.91993   0.0222704
         373     2.67959     1.92197   0.0223037
         374     1.85242     1.92178   0.0222448
         375     2.02531     1.92206   0.0221872
         376     2.31102     1.92309   0.0221523
         377     2.31333     1.92413   0.0221177
         378     2.43059     1.92547   0.0220997
         379     2.77052      1.9277   0.0221536
         380     2.84262     1.93011   0.0222258
         381     2.41956     1.93139   0.0222045
         382     2.41579     1.93266   0.0221826
         383     2.15309     1.93324   0.0221321
         384     2.14831      1.9338   0.0220816
         385      2.2402     1.93459   0.0220386
         386     2.17609     1.93522   0.0219903
         387     2.50934      1.9367   0.0219835
         388     2.16032     1.93728   0.0219344
         389     2.17626     1.93789   0.0218866
         390     1.99856     1.93805    0.021831
         391     2.56552     1.93965   0.0218341
         392     1.88773     1.93952   0.0217788
         393     1.87827     1.93936    0.021724
         394     1.59704     1.93849   0.0216862
         395     2.02149      1.9387   0.0216323
         396     2.07526     1.93905   0.0215804
         397     2.28632     1.93992   0.0215438
         398     1.97949     1.94002   0.0214899
         399      2.1884     1.94065    0.021445
         400     1.78483     1.94026    0.021395
         401     1.96713     1.94032   0.0213417
         402     1.97422     1.94041   0.0212888
         403     2.25444     1.94119   0.0212502
         404     2.21983     1.94188   0.0212088
         405      2.0335      1.9421   0.0211577
         406     2.22852     1.94281   0.0211173
         407     2.64775     1.94454   0.0211363
         408     2.27987     1.94536   0.0211005
         409      1.9863     1.94546   0.0210491
         410     2.65203     1.94719   0.0210682
         411     2.44313     1.94839   0.0210515
         412     2.22392     1.94906    0.021011
         413     2.08581     1.94939   0.0209628
         414     2.26071     1.95014   0.0209256
         415     2.58065     1.95166   0.0209303
         416     2.44616     1.95285   0.0209137
         417     2.43466     1.95401   0.0208954
         418     2.74084     1.95589     0.02093
         419     2.64775     1.95754   0.0209451
         420     2.32965     1.95843    0.020914
         421     2.23109     1.95908   0.0208743
         422     2.61745     1.96064   0.0208831
         423     2.48486     1.96187   0.0208705
         424     2.38734     1.96288   0.0208453
         425     2.18522      1.9634   0.0208029
         426     2.54803     1.96477   0.0207992
         427     2.81652     1.96677    0.020846
         428     2.67179     1.96842   0.0208622
         429      2.3906      1.9694   0.0208368
         430     2.48241     1.97059   0.0208225
         431     2.45398     1.97171   0.0208043
         432     2.90967     1.97389   0.0208692
         433     2.59773     1.97533   0.0208707
         434      2.7103     1.97702   0.0208912
         435      2.9769     1.97932   0.0209692
         436     2.32773     1.98012   0.0209363
         437      2.7184     1.98181   0.0209565
         438     2.39507     1.98275   0.0209299
         439     2.36936     1.98363   0.0209007
         440     2.32555     1.98441   0.0208676
         441     2.17431     1.98484   0.0208248
         442     2.38055     1.98573   0.0207969
         443     2.54695       1.987   0.0207885
         444     2.58668     1.98835   0.0207855
         445     3.27299     1.99124   0.0209383
         446     2.84433     1.99315   0.0209785
         447     2.46344      1.9942    0.020958
         448     2.55149     1.99545   0.0209481
         449     2.59899     1.99679   0.0209445
         450     3.14504     1.99934   0.0210528
         451     2.67396     2.00084   0.0210592
         452     2.61381     2.00219   0.0210562
         453     2.36786       2.003   0.0210252
         454     2.05543     2.00312   0.0209792
         455     1.82915     2.00274   0.0209366
         456      1.6706     2.00201   0.0209034
         457     1.64591     2.00123   0.0208721
         458     1.95538     2.00113   0.0208268
         459     1.70784     2.00049   0.0207912
         460     1.54461      1.9995   0.0207696
         461     1.68365     1.99881   0.0207359
         462     1.67822     1.99812   0.0207026
         463      1.5341     1.99712   0.0206821
         464     1.46603     1.99597   0.0206692
         465     1.60394     1.99513   0.0206419
         466     1.88908      1.9949   0.0205989
         467     1.66445     1.99419   0.0205669
         468     1.82201     1.99383   0.0205263
         469     1.58958     1.99296   0.0205006
         470    0.972567     1.99079   0.0205716
         471    0.925797     1.98853   0.0206519
         472     1.61069     1.98773   0.0206236
         473     1.70804     1.98714   0.0205885
         474     1.85143     1.98685    0.020547
         475     1.73512     1.98632   0.0205106
         476     1.38332     1.98506   0.0205066
         477     2.02078     1.98513   0.0204638
         478      1.7197     1.98458   0.0204285
         479     2.03702     1.98469   0.0203861
         480     1.35991     1.98338   0.0203852
         481     1.66615     1.98272   0.0203534
         482     1.46385     1.98165   0.0203397
         483     1.84047     1.98136   0.0202997
         484       1.738     1.98085   0.0202639
         485     2.27353     1.98146   0.0202311
         486     1.98229     1.98146   0.0201895
         487      1.7592       1.981   0.0201532
         488      1.5827     1.98019   0.0201284
         489     1.67138     1.97955   0.0200972
         490     1.64183     1.97886    0.020068
         491     1.71396     1.97832   0.0200344
         492      1.9365     1.97824   0.0199938
         493     1.68758     1.97765    0.019962
         494     2.06696     1.97783   0.0199224
         495     2.08211     1.97804   0.0198832
         496     2.49414     1.97908   0.0198704
         497     2.72981     1.98059   0.0198877
         498     2.25594     1.98115   0.0198555
         499      2.3878     1.98196   0.0198324
         500     2.33757     1.98267   0.0198055
         501     2.62816     1.98396   0.0198078
         502     2.43223     1.98485   0.0197885
         503     2.22236     1.98533   0.0197547
         504     1.58386     1.98453   0.0197316
         505     1.55315     1.98367    0.019711
         506      1.4016     1.98252   0.0197056
         507     1.85538     1.98227   0.0196683
         508     1.96717     1.98224   0.0196296
         509     2.42981     1.98312   0.0196107
         510     1.71952     1.98261   0.0195791
         511       1.838     1.98232   0.0195428
         512      2.0428     1.98244    0.019505
         513     2.03989     1.98255   0.0194673
         514     1.98422     1.98256   0.0194294
         515     2.31249      1.9832   0.0194023
         516     2.62225     1.98444   0.0194042
         517     2.23161     1.98491   0.0193725
         518     2.49971     1.98591   0.0193606
         519     2.59178     1.98708   0.0193585
         520     2.14629     1.98738   0.0193237
         521     2.06635     1.98753   0.0192872
         522     2.19388     1.98793   0.0192543
         523     2.18091      1.9883    0.019221
         524     2.26186     1.98882   0.0191914
         525     2.44432     1.98969   0.0191744
         526     2.06753     1.98983   0.0191386
         527     2.34455     1.99051   0.0191141
         528     2.21432     1.99093   0.0190826
         529     2.40922     1.99172   0.0190629
         530     2.04644     1.99183   0.0190272
         531      2.0327      1.9919   0.0189915
         532     1.50339     1.99098    0.018978
         533     1.47225     1.99001   0.0189673
         534     1.46938     1.98904   0.0189568
         535     1.26712     1.98769   0.0189694
         536     1.07478     1.98598   0.0190103
         537     1.48708     1.98505   0.0189976
         538     1.68337     1.98449   0.0189705
         539     1.39593      1.9834   0.0189667
         540     1.40716     1.98233   0.0189616
         541     1.92462     1.98223   0.0189269
         542     2.07974     1.98241   0.0188928
         543     1.86859      1.9822   0.0188592
         544     1.94456     1.98213   0.0188246
         545     2.02391     1.98221   0.0187903
         546     1.77964     1.98183   0.0187595
         547     1.83403     1.98156   0.0187272
         548     1.98825     1.98158    0.018693
         549     2.23546     1.98204   0.0186647
         550     2.45069     1.98289   0.0186502
         551     2.08195     1.98307   0.0186172
         552     2.28461     1.98362   0.0185915
         553      2.0157     1.98368   0.0185579
         554        1.72      1.9832   0.0185305
         555     1.50552     1.98234   0.0185171
         556     1.84027     1.98208   0.0184856
         557     2.23835     1.98254   0.0184581
         558     2.08292     1.98272   0.0184259
         559     2.04721     1.98284   0.0183933
         560     1.86721     1.98263   0.0183616
         561     1.73053     1.98218   0.0183344
         562     1.58292     1.98147   0.0183155
         563     1.92729     1.98138   0.0182833
         564     1.97656     1.98137   0.0182508
         565     2.09441     1.98157   0.0182196
         566     2.39152     1.98229   0.0182018
         567     2.16026     1.98261   0.0181724
         568     2.41554     1.98337   0.0181564
         569     3.17459     1.98546   0.0182448
         570     2.55495     1.98646   0.0182401
         571     2.58311     1.98751   0.0182381
         572     2.46241     1.98834   0.0182251
