#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         636    -7.59878    -7.55601  0.00456917
         637    -7.55974    -7.55601    0.004562
         638    -7.65751    -7.55617  0.00455762
         639    -7.63289    -7.55629  0.00455207
         640    -7.63628    -7.55642  0.00454667
         641     -7.6831    -7.55662  0.00454387
         642    -7.72497    -7.55688  0.00454435
         643    -7.65409    -7.55703   0.0045398
         644     -7.6685     -7.5572  0.00453605
         645    -7.59208    -7.55726  0.00452934
         646    -7.50286    -7.55717  0.00452311
         647    -7.48802    -7.55706  0.00451738
         648    -7.49842    -7.55697  0.00451132
         649    -7.53104    -7.55693  0.00450454
         650     -7.5711    -7.55696  0.00449767
         651     -7.5194     -7.5569  0.00449113
         652    -7.54958    -7.55689  0.00448425
         653    -7.57143    -7.55691  0.00447744
         654    -7.60584    -7.55698  0.00447122
         655    -7.58977    -7.55703  0.00446467
         656    -7.57603    -7.55706  0.00445796
         657     -7.6177    -7.55716  0.00445213
         658    -7.55963    -7.55716  0.00444537
         659    -7.59624    -7.55722  0.00443902
         660    -7.59566    -7.55728  0.00443267
         661     -7.6158    -7.55737  0.00442685
         662    -7.58468    -7.55741  0.00442036
         663    -7.57066    -7.55743  0.00441374
