#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         211 2.70758e+12        -nan         nan
         212 7.41265e+10        -nan         nan
         213 6.16758e+06        -nan         nan
         214 2.24279e+09        -nan         nan
         215 9.88599e+08        -nan         nan
         216 4.71038e+08        -nan         nan
         217 2.36972e+06        -nan         nan
         218 3.56148e+07        -nan         nan
         219  9.4666e+06        -nan         nan
         220 1.47422e+08        -nan         nan
         221 1.29353e+08        -nan         nan
         222 4.44705e+12        -nan         nan
         223 2.83687e+09        -nan         nan
         224 1.50512e+09        -nan         nan
         225 2.52047e+08        -nan         nan
         226 1.11655e+11        -nan         nan
         227 2.47788e+10        -nan         nan
         228 3.34977e+08        -nan         nan
         229 1.07001e+08        -nan         nan
         230 9.36507e+12        -nan         nan
         231 1.90505e+06        -nan         nan
         232      471102        -nan         nan
         233 2.69755e+08        -nan         nan
         234 3.44479e+09        -nan         nan
         235 2.83701e+08        -nan         nan
         236 2.34949e+07        -nan         nan
         237 3.11481e+07        -nan         nan
         238 1.57892e+10        -nan         nan
         239 2.38573e+07        -nan         nan
         240 3.81584e+10        -nan         nan
         241 6.04649e+11        -nan         nan
         242 1.41186e+06        -nan         nan
         243 3.41141e+07        -nan         nan
         244 1.03292e+07        -nan         nan
         245 7.20066e+13        -nan         nan
         246      100165        -nan         nan
         247 3.46893e+09        -nan         nan
         248 1.17005e+08        -nan         nan
         249 6.74996e+07        -nan         nan
         250 4.06731e+08        -nan         nan
         251 8.39182e+07        -nan         nan
         252 9.50615e+08        -nan         nan
         253 1.74821e+06        -nan         nan
         254 6.90145e+11        -nan         nan
         255  3.9538e+15        -nan         nan
         256        -nan        -nan         nan
         257 6.67393e+11        -nan         nan
         258 4.34769e+08        -nan         nan
         259 6.41418e+08        -nan         nan
         260 6.52543e+09        -nan         nan
         261 6.33132e+11        -nan         nan
         262 5.29243e+06        -nan         nan
         263 7.30807e+09        -nan         nan
         264 8.81758e+07        -nan         nan
         265 5.28643e+06        -nan         nan
         266 3.11851e+07        -nan         nan
         267 1.75087e+09        -nan         nan
         268 7.91083e+09        -nan         nan
