#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         367     1.12684     1.37326   0.0191156
         368     1.12672     1.37259   0.0190754
         369     1.12656     1.37192   0.0190354
         370     1.12637     1.37126   0.0189955
         371     1.12613      1.3706   0.0189558
         372     1.12586     1.36994   0.0189162
         373     1.12555     1.36928   0.0188769
         374     1.12521     1.36863   0.0188377
         375     1.12483     1.36798   0.0187986
         376     1.12442     1.36733   0.0187598
         377     1.12398     1.36669   0.0187212
         378      1.1235     1.36604   0.0186827
         379       1.123      1.3654   0.0186444
         380     1.12247     1.36476   0.0186063
         381     1.12191     1.36413   0.0185684
         382     1.12132     1.36349   0.0185306
         383     1.12072     1.36286   0.0184931
         384     1.12009     1.36222   0.0184557
         385     1.11944     1.36159   0.0184186
         386     1.11878     1.36097   0.0183816
         387      1.1181     1.36034   0.0183448
         388      1.1174     1.35971   0.0183082
         389      1.1167     1.35909   0.0182718
         390     1.11599     1.35846   0.0182356
         391     1.11527     1.35784   0.0181995
         392     1.11454     1.35722   0.0181637
         393     1.11381      1.3566    0.018128
         394     1.11308     1.35598   0.0180925
         395     1.11235     1.35537   0.0180573
         396     1.11162     1.35475   0.0180221
         397      1.1109     1.35414   0.0179872
         398     1.11018     1.35352   0.0179525
         399     1.10947     1.35291   0.0179179
         400     1.10877      1.3523   0.0178835
         401     1.10808     1.35169   0.0178492
         402      1.1074     1.35109   0.0178152
         403     1.10674     1.35048   0.0177813
         404     1.10609     1.34987   0.0177476
         405     1.10545     1.34927    0.017714
         406     1.10484     1.34867   0.0176806
         407     1.10424     1.34807   0.0176474
         408     1.10366     1.34747   0.0176143
         409     1.10311     1.34687   0.0175813
         410     1.10258     1.34628   0.0175485
         411     1.10207     1.34568   0.0175159
         412     1.10158     1.34509   0.0174834
         413     1.10112      1.3445   0.0174511
         414     1.10069     1.34391   0.0174188
         415     1.10028     1.34332   0.0173867
         416     1.09991     1.34274   0.0173548
         417     1.09956     1.34215    0.017323
         418     1.09924     1.34157   0.0172913
         419     1.09895     1.34099   0.0172597
         420     1.09869     1.34042   0.0172282
         421     1.09847     1.33984   0.0171969
         422     1.09827     1.33927   0.0171657
         423     1.09811      1.3387   0.0171346
         424     1.09799     1.33813   0.0171036
         425      1.0979     1.33757   0.0170726
         426     1.09785       1.337   0.0170418
         427     1.09783     1.33644   0.0170111
         428     1.09785     1.33589   0.0169805
         429     1.09791     1.33533     0.01695
         430     1.09801     1.33478   0.0169196
         431     1.09816     1.33423   0.0168892
         432     1.09834     1.33368   0.0168589
         433     1.09857     1.33314   0.0168287
         434     1.09884      1.3326   0.0167986
         435     1.09916     1.33207   0.0167686
         436     1.09952     1.33153   0.0167386
         437     1.09993       1.331   0.0167087
         438     1.10039     1.33048   0.0166788
         439     1.10089     1.32995    0.016649
         440     1.10145     1.32943   0.0166193
         441     1.10206     1.32892   0.0165896
         442     1.10272     1.32841     0.01656
         443     1.10343      1.3279   0.0165304
         444      1.1042     1.32739   0.0165008
         445     1.10501     1.32689   0.0164713
         446     1.10588      1.3264   0.0164418
         447     1.10681     1.32591   0.0164124
         448     1.10778     1.32542    0.016383
         449     1.10881     1.32494   0.0163536
         450      1.1099     1.32446   0.0163242
         451     1.11104     1.32399   0.0162949
         452     1.11223     1.32352   0.0162656
         453     1.11347     1.32305   0.0162363
         454     1.11476      1.3226    0.016207
         455      1.1161     1.32214   0.0161777
         456     1.11749     1.32169   0.0161485
         457     1.11893     1.32125   0.0161192
         458     1.12041     1.32081     0.01609
         459     1.12193     1.32038   0.0160608
         460      1.1235     1.31995   0.0160315
         461      1.1251     1.31953   0.0160023
         462     1.12674     1.31911   0.0159731
         463     1.12841      1.3187    0.015944
         464     1.13012     1.31829   0.0159148
         465     1.13185     1.31789   0.0158856
         466     1.13361      1.3175   0.0158564
         467     1.13539     1.31711   0.0158273
         468     1.13719     1.31672   0.0157981
         469       1.139     1.31634    0.015769
         470     1.14083     1.31597   0.0157399
         471     1.14266      1.3156   0.0157107
         472      1.1445     1.31524   0.0156816
         473     1.14634     1.31488   0.0156525
         474     1.14818     1.31453   0.0156235
         475     1.15002     1.31418   0.0155944
         476     1.15185     1.31384   0.0155654
         477     1.15366     1.31351   0.0155364
         478     1.15547     1.31318   0.0155074
         479     1.15725     1.31285   0.0154784
         480     1.15902     1.31253   0.0154495
         481     1.16076     1.31221   0.0154206
         482     1.16248      1.3119   0.0153917
         483     1.16417      1.3116   0.0153629
         484     1.16584      1.3113   0.0153341
         485     1.16747       1.311   0.0153054
         486     1.16906     1.31071   0.0152767
         487     1.17062     1.31042    0.015248
         488     1.17214     1.31014   0.0152194
         489     1.17362     1.30986   0.0151908
         490     1.17506     1.30958   0.0151623
         491     1.17646     1.30931   0.0151339
         492     1.17781     1.30904   0.0151055
         493     1.17912     1.30878   0.0150771
         494     1.18039     1.30852   0.0150488
         495     1.18161     1.30826   0.0150206
         496     1.18278     1.30801   0.0149925
         497     1.18391     1.30776   0.0149644
         498     1.18499     1.30751   0.0149364
         499     1.18602     1.30727   0.0149084
         500     1.18701     1.30703   0.0148805
         501     1.18795     1.30679   0.0148527
         502     1.18884     1.30656    0.014825
         503     1.18969     1.30633   0.0147974
         504     1.19049      1.3061   0.0147698
         505     1.19125     1.30587   0.0147423
         506     1.19197     1.30564   0.0147149
         507     1.19264     1.30542   0.0146875
         508     1.19327      1.3052   0.0146603
         509     1.19386     1.30498   0.0146331
         510     1.19441     1.30476    0.014606
         511     1.19492     1.30455    0.014579
         512     1.19539     1.30434   0.0145521
         513     1.19582     1.30412   0.0145253
         514     1.19622     1.30391   0.0144985
         515     1.19658     1.30371   0.0144719
         516      1.1969      1.3035   0.0144453
         517      1.1972     1.30329   0.0144188
         518     1.19746     1.30309   0.0143924
         519     1.19769     1.30289   0.0143661
         520      1.1979     1.30268   0.0143399
         521     1.19807     1.30248   0.0143138
         522     1.19822     1.30228   0.0142878
         523     1.19834     1.30209   0.0142619
         524     1.19843     1.30189    0.014236
         525      1.1985     1.30169   0.0142103
         526     1.19855     1.30149   0.0141846
         527     1.19858      1.3013    0.014159
         528     1.19858      1.3011   0.0141335
         529     1.19857     1.30091   0.0141082
         530     1.19854     1.30072   0.0140829
         531     1.19849     1.30053   0.0140576
         532     1.19842     1.30033   0.0140325
         533     1.19833     1.30014   0.0140075
         534     1.19823     1.29995   0.0139826
         535     1.19812     1.29976   0.0139577
         536     1.19799     1.29957    0.013933
         537     1.19785     1.29938   0.0139083
         538      1.1977     1.29919   0.0138838
         539     1.19753       1.299   0.0138593
         540     1.19735     1.29882   0.0138349
         541     1.19717     1.29863   0.0138106
         542     1.19697     1.29844   0.0137864
         543     1.19676     1.29825   0.0137623
         544     1.19655     1.29807   0.0137382
         545     1.19632     1.29788   0.0137143
         546     1.19609     1.29769   0.0136905
         547     1.19584     1.29751   0.0136667
         548     1.19559     1.29732    0.013643
         549     1.19534     1.29713   0.0136194
         550     1.19507     1.29695   0.0135959
         551      1.1948     1.29676   0.0135725
         552     1.19453     1.29658   0.0135492
         553     1.19424     1.29639    0.013526
         554     1.19395     1.29621   0.0135028
         555     1.19365     1.29602   0.0134797
         556     1.19335     1.29584   0.0134568
         557     1.19303     1.29565   0.0134339
         558     1.19271     1.29547   0.0134111
         559     1.19239     1.29529   0.0133883
         560     1.19205      1.2951   0.0133657
         561     1.19171     1.29492   0.0133432
         562     1.19136     1.29473   0.0133207
         563     1.19101     1.29455   0.0132983
         564     1.19064     1.29436    0.013276
         565     1.19027     1.29418   0.0132538
         566     1.18989       1.294   0.0132316
         567      1.1895     1.29381   0.0132096
         568      1.1891     1.29363   0.0131876
         569     1.18868     1.29344   0.0131657
         570     1.18826     1.29326   0.0131439
         571     1.18783     1.29307   0.0131222
         572     1.18739     1.29289   0.0131006
         573     1.18693      1.2927    0.013079
         574     1.18647     1.29252   0.0130575
         575     1.18599     1.29233   0.0130361
         576      1.1855     1.29215   0.0130148
         577     1.18499     1.29196   0.0129936
         578     1.18447     1.29178   0.0129724
         579     1.18393     1.29159   0.0129514
         580     1.18338      1.2914   0.0129304
         581     1.18282     1.29122   0.0129095
         582     1.18223     1.29103   0.0128887
         583     1.18163     1.29084   0.0128679
         584     1.18102     1.29065   0.0128473
         585     1.18039     1.29047   0.0128267
         586     1.17974     1.29028   0.0128062
         587     1.17907     1.29009   0.0127858
         588     1.17838      1.2899   0.0127654
         589     1.17767     1.28971   0.0127452
         590     1.17695     1.28952    0.012725
         591      1.1762     1.28932   0.0127049
         592     1.17544     1.28913   0.0126849
         593     1.17466     1.28894    0.012665
         594     1.17385     1.28874   0.0126452
         595     1.17303     1.28855   0.0126254
         596     1.17219     1.28835   0.0126057
         597     1.17132     1.28816   0.0125861
         598     1.17044     1.28796   0.0125666
         599     1.16954     1.28776   0.0125472
         600     1.16862     1.28757   0.0125279
         601     1.16768     1.28737   0.0125086
         602     1.16672     1.28717   0.0124894
         603     1.16574     1.28696   0.0124703
         604     1.16475     1.28676   0.0124513
         605     1.16373     1.28656   0.0124324
         606     1.16271     1.28635   0.0124136
         607     1.16166     1.28615   0.0123948
         608      1.1606     1.28594   0.0123762
         609     1.15953     1.28573   0.0123576
         610     1.15844     1.28553   0.0123391
         611     1.15733     1.28532   0.0123207
         612     1.15622     1.28511   0.0123024
         613     1.15509     1.28489   0.0122841
         614     1.15396     1.28468    0.012266
         615     1.15281     1.28447   0.0122479
         616     1.15165     1.28425   0.0122299
         617     1.15048     1.28403    0.012212
         618     1.14931     1.28381   0.0121942
         619     1.14813      1.2836   0.0121765
         620     1.14694     1.28338   0.0121588
         621     1.14575     1.28315   0.0121412
         622     1.14456     1.28293   0.0121238
         623     1.14335     1.28271   0.0121064
         624     1.14215     1.28248   0.0120891
         625     1.14095     1.28226   0.0120719
         626     1.13974     1.28203   0.0120547
         627     1.13853      1.2818   0.0120377
         628     1.13732     1.28157   0.0120207
         629     1.13611     1.28134   0.0120038
         630     1.13489      1.2811    0.011987
         631     1.13368     1.28087   0.0119703
         632     1.13247     1.28064   0.0119536
         633     1.13126      1.2804   0.0119371
         634     1.13005     1.28016   0.0119206
         635     1.12884     1.27992   0.0119042
         636     1.12763     1.27969   0.0118879
         637     1.12641     1.27944   0.0118717
         638      1.1252      1.2792   0.0118555
         639     1.12399     1.27896   0.0118395
         640     1.12278     1.27872   0.0118235
         641     1.12157     1.27847   0.0118076
         642     1.12036     1.27822   0.0117918
         643     1.11915     1.27798    0.011776
         644     1.11794     1.27773   0.0117604
         645     1.11672     1.27748   0.0117448
         646      1.1155     1.27723   0.0117293
         647     1.11428     1.27698   0.0117138
         648     1.11306     1.27672   0.0116985
         649     1.11184     1.27647   0.0116832
         650     1.11061     1.27621    0.011668
         651     1.10938     1.27596   0.0116529
         652     1.10815      1.2757   0.0116379
         653     1.10691     1.27544    0.011623
         654     1.10567     1.27518   0.0116081
         655     1.10443     1.27492   0.0115933
         656     1.10318     1.27466   0.0115786
         657     1.10193      1.2744   0.0115639
         658     1.10068     1.27413   0.0115494
         659     1.09943     1.27387   0.0115349
         660     1.09817      1.2736   0.0115205
         661     1.09691     1.27333   0.0115061
         662     1.09565     1.27307   0.0114919
         663     1.09439      1.2728   0.0114777
         664     1.09313     1.27253   0.0114636
         665     1.09187     1.27225   0.0114496
         666     1.09061     1.27198   0.0114357
         667     1.08935     1.27171   0.0114218
         668      1.0881     1.27143    0.011408
         669     1.08685     1.27116   0.0113943
         670     1.08561     1.27088   0.0113806
         671     1.08438      1.2706   0.0113671
         672     1.08315     1.27032   0.0113536
         673     1.08194     1.27004   0.0113402
         674     1.08074     1.26976   0.0113268
         675     1.07956     1.26948   0.0113135
         676     1.07839      1.2692   0.0113003
         677     1.07724     1.26891   0.0112872
         678     1.07611     1.26863   0.0112741
         679       1.075     1.26835   0.0112611
         680     1.07391     1.26806   0.0112482
         681     1.07285     1.26777   0.0112353
         682     1.07181     1.26749   0.0112225
         683     1.07081      1.2672   0.0112098
         684     1.06983     1.26691   0.0111971
         685     1.06888     1.26662   0.0111845
         686     1.06797     1.26633    0.011172
         687      1.0671     1.26604   0.0111595
         688     1.06626     1.26575    0.011147
         689     1.06546     1.26546   0.0111346
         690      1.0647     1.26517   0.0111223
         691     1.06398     1.26488     0.01111
         692      1.0633     1.26459   0.0110978
         693     1.06267     1.26429   0.0110856
         694     1.06209       1.264   0.0110734
         695     1.06155     1.26371   0.0110613
         696     1.06106     1.26342   0.0110493
         697     1.06061     1.26313   0.0110373
         698     1.06022     1.26284   0.0110253
         699     1.05988     1.26255   0.0110133
         700     1.05959     1.26226   0.0110014
         701     1.05934     1.26197   0.0109895
         702     1.05915     1.26168   0.0109777
         703     1.05901     1.26139   0.0109658
         704     1.05893      1.2611    0.010954
         705     1.05889     1.26082   0.0109422
         706     1.05891     1.26053   0.0109305
         707     1.05898     1.26025   0.0109187
         708      1.0591     1.25996    0.010907
         709     1.05927     1.25968   0.0108953
         710      1.0595      1.2594   0.0108836
         711     1.05977     1.25912   0.0108719
         712      1.0601     1.25884   0.0108602
         713     1.06048     1.25856   0.0108486
         714      1.0609     1.25828   0.0108369
         715     1.06137     1.25801   0.0108252
         716     1.06189     1.25773   0.0108136
         717     1.06246     1.25746   0.0108019
         718     1.06307     1.25719   0.0107903
         719     1.06372     1.25692   0.0107786
         720     1.06442     1.25665    0.010767
         721     1.06516     1.25639   0.0107553
         722     1.06594     1.25612   0.0107437
         723     1.06676     1.25586    0.010732
         724     1.06761      1.2556   0.0107203
         725      1.0685     1.25534   0.0107086
         726     1.06943     1.25509   0.0106969
         727     1.07039     1.25483   0.0106852
         728     1.07138     1.25458   0.0106735
         729      1.0724     1.25433   0.0106618
         730     1.07345     1.25408   0.0106501
         731     1.07452     1.25384   0.0106384
         732     1.07562     1.25359   0.0106266
         733     1.07674     1.25335   0.0106149
         734     1.07788     1.25311   0.0106031
         735     1.07904     1.25288   0.0105913
         736     1.08022     1.25264   0.0105795
