#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         198   -0.487942   -0.408357  0.00364859
         199   -0.492576    -0.40878  0.00365472
         200   -0.458841    -0.40903  0.00364501
         201   -0.449036   -0.409229  0.00363231
         202   -0.461233   -0.409487  0.00362344
         203   -0.438379   -0.409629  0.00360838
         204   -0.439865   -0.409777  0.00359373
         205   -0.407659   -0.409767  0.00357622
         206   -0.417032   -0.409802  0.00355903
         207   -0.417081   -0.409838  0.00354201
         208   -0.432871   -0.409948  0.00352671
         209   -0.475373   -0.410261  0.00352371
         210   -0.439994   -0.410403  0.00350977
         211   -0.453662   -0.410608  0.00349912
         212    -0.42528   -0.410677   0.0034833
         213   -0.463791   -0.410927  0.00347586
         214   -0.441633    -0.41107  0.00346258
         215   -0.449337   -0.411248  0.00345104
         216   -0.493139   -0.411627  0.00345583
         217   -0.477281    -0.41193  0.00345312
         218   -0.442568    -0.41207  0.00344014
         219   -0.455651   -0.412269  0.00343018
         220   -0.476993   -0.412563  0.00342718
         221   -0.425713   -0.412623  0.00341219
         222   -0.431717   -0.412709  0.00339791
         223   -0.467363   -0.412954   0.0033915
         224   -0.380798    -0.41281  0.00337939
         225   -0.410745   -0.412801  0.00336439
         226   -0.365575   -0.412592  0.00335598
         227   -0.459873   -0.412801  0.00334766
         228   -0.459758   -0.413007   0.0033393
         229   -0.459964   -0.413212  0.00333101
         230   -0.399216   -0.413151  0.00331708
         231   -0.423065   -0.413194    0.003303
         232   -0.405582   -0.413161  0.00328893
         233   -0.367313   -0.412964  0.00328069
         234   -0.448243   -0.413115  0.00327013
         235   -0.440122    -0.41323  0.00325824
         236   -0.442898   -0.413355  0.00324686
         237   -0.479952   -0.413636  0.00324529
         238   -0.485257   -0.413937  0.00324558
         239   -0.481266   -0.414219   0.0032442
         240   -0.427328   -0.414274  0.00323114
         241   -0.384428    -0.41415  0.00322011
         242   -0.384474   -0.414027  0.00320914
         243   -0.429293    -0.41409  0.00319655
         244   -0.446441   -0.414223  0.00318619
         245   -0.362701   -0.414012  0.00318012
