#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         201     1.00062      1.0002 1.29568e-05
         202     1.00062     1.00021 1.30564e-05
         203     1.00063     1.00021 1.31563e-05
         204     1.00063     1.00021 1.32566e-05
         205     1.00064     1.00021 1.33571e-05
         206     1.00065     1.00021 1.34579e-05
         207     1.00065     1.00022  1.3559e-05
         208     1.00066     1.00022 1.36604e-05
         209     1.00067     1.00022 1.37621e-05
         210     1.00067     1.00022 1.38641e-05
         211     1.00068     1.00023 1.39664e-05
         212     1.00069     1.00023  1.4069e-05
         213     1.00069     1.00023 1.41718e-05
         214      1.0007     1.00023  1.4275e-05
         215     1.00071     1.00023 1.43785e-05
         216     1.00071     1.00024 1.44823e-05
         217     1.00072     1.00024 1.45864e-05
         218     1.00073     1.00024 1.46907e-05
         219     1.00073     1.00024 1.47954e-05
         220     1.00074     1.00025 1.49004e-05
         221     1.00075     1.00025 1.50056e-05
         222     1.00075     1.00025 1.51112e-05
         223     1.00076     1.00025  1.5217e-05
         224     1.00077     1.00025 1.53231e-05
         225     1.00078     1.00026 1.54296e-05
         226     1.00078     1.00026 1.55363e-05
         227     1.00079     1.00026 1.56433e-05
         228      1.0008     1.00026 1.57507e-05
         229      1.0008     1.00027 1.58583e-05
         230     1.00081     1.00027 1.59662e-05
         231     1.00082     1.00027 1.60745e-05
         232     1.00083     1.00027  1.6183e-05
         233     1.00083     1.00028 1.62918e-05
         234     1.00084     1.00028  1.6401e-05
         235     1.00085     1.00028 1.65104e-05
         236     1.00086     1.00028 1.66202e-05
         237     1.00086     1.00029 1.67302e-05
         238     1.00087     1.00029 1.68406e-05
         239     1.00088     1.00029 1.69512e-05
         240     1.00089     1.00029 1.70622e-05
         241      1.0009      1.0003 1.71735e-05
         242      1.0009      1.0003 1.72851e-05
         243     1.00091      1.0003 1.73969e-05
         244     1.00092      1.0003 1.75091e-05
         245     1.00093     1.00031 1.76216e-05
         246     1.00093     1.00031 1.77344e-05
         247     1.00094     1.00031 1.78475e-05
         248     1.00095     1.00031 1.79609e-05
         249     1.00096     1.00032 1.80746e-05
         250     1.00097     1.00032 1.81887e-05
         251     1.00097     1.00032  1.8303e-05
         252     1.00098     1.00032 1.84176e-05
         253     1.00099     1.00033 1.85325e-05
         254       1.001     1.00033 1.86477e-05
         255     1.00101     1.00033 1.87633e-05
         256     1.00102     1.00033 1.88791e-05
         257     1.00102     1.00034 1.89952e-05
         258     1.00103     1.00034 1.91117e-05
         259     1.00104     1.00034 1.92284e-05
         260     1.00105     1.00034 1.93454e-05
         261     1.00106     1.00035 1.94628e-05
         262     1.00107     1.00035 1.95804e-05
         263     1.00107     1.00035 1.96984e-05
         264     1.00108     1.00036 1.98166e-05
         265     1.00109     1.00036 1.99352e-05
         266      1.0011     1.00036  2.0054e-05
         267     1.00111     1.00036 2.01732e-05
         268     1.00112     1.00037 2.02927e-05
         269     1.00113     1.00037 2.04124e-05
         270     1.00113     1.00037 2.05325e-05
         271     1.00114     1.00038 2.06528e-05
         272     1.00115     1.00038 2.07735e-05
         273     1.00116     1.00038 2.08945e-05
         274     1.00117     1.00038 2.10157e-05
         275     1.00118     1.00039 2.11373e-05
         276     1.00119     1.00039 2.12592e-05
         277      1.0012     1.00039 2.13814e-05
         278     1.00121      1.0004 2.15039e-05
         279     1.00122      1.0004 2.16266e-05
         280     1.00122      1.0004 2.17497e-05
         281     1.00123      1.0004 2.18731e-05
         282     1.00124     1.00041 2.19968e-05
         283     1.00125     1.00041 2.21208e-05
         284     1.00126     1.00041 2.22451e-05
         285     1.00127     1.00042 2.23697e-05
         286     1.00128     1.00042 2.24946e-05
         287     1.00129     1.00042 2.26198e-05
         288      1.0013     1.00043 2.27454e-05
         289     1.00131     1.00043 2.28712e-05
         290     1.00132     1.00043 2.29973e-05
         291     1.00133     1.00043 2.31237e-05
         292     1.00134     1.00044 2.32504e-05
         293     1.00135     1.00044 2.33774e-05
         294     1.00136     1.00044 2.35047e-05
         295     1.00137     1.00045 2.36323e-05
         296     1.00138     1.00045 2.37602e-05
         297     1.00139     1.00045 2.38884e-05
         298      1.0014     1.00046 2.40169e-05
         299     1.00141     1.00046 2.41457e-05
         300     1.00142     1.00046 2.42748e-05
         301     1.00143     1.00047 2.44042e-05
         302     1.00144     1.00047 2.45339e-05
         303     1.00145     1.00047 2.46639e-05
         304     1.00146     1.00048 2.47942e-05
         305     1.00147     1.00048 2.49249e-05
         306     1.00148     1.00048 2.50558e-05
         307     1.00149     1.00049  2.5187e-05
         308      1.0015     1.00049 2.53185e-05
         309     1.00151     1.00049 2.54503e-05
         310     1.00152      1.0005 2.55825e-05
         311     1.00153      1.0005 2.57149e-05
