#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         253    0.697522    0.822865   0.0233453
         254    0.698374    0.822375   0.0232585
         255    0.699247    0.821892   0.0231723
         256    0.700141    0.821416   0.0230867
         257    0.701058    0.820948   0.0230016
         258    0.701997    0.820487   0.0229171
         259     0.70296    0.820033   0.0228331
         260    0.703946    0.819587   0.0227496
         261    0.704956    0.819147   0.0226667
         262     0.70599    0.818715   0.0225843
         263     0.70705    0.818291   0.0225024
         264    0.708137    0.817874   0.0224211
         265     0.70925    0.817464   0.0223402
         266    0.710389    0.817061   0.0222598
         267    0.711554    0.816666     0.02218
         268    0.712745    0.816278   0.0221006
         269    0.713962    0.815898   0.0220217
         270    0.715205    0.815525   0.0219433
         271    0.716475    0.815159   0.0218654
         272    0.717771    0.814801   0.0217879
         273    0.719093    0.814451   0.0217109
         274    0.720442    0.814108   0.0216344
         275    0.721817    0.813772   0.0215583
         276    0.723217    0.813444   0.0214827
         277    0.724644    0.813123   0.0214076
         278    0.726096     0.81281   0.0213328
         279    0.727573    0.812505   0.0212586
         280    0.729075    0.812207   0.0211847
         281    0.730601    0.811917   0.0211113
         282    0.732151    0.811634   0.0210384
         283    0.733724    0.811358   0.0209658
         284    0.735318    0.811091   0.0208937
         285    0.736934     0.81083    0.020822
         286     0.73857    0.810578   0.0207508
         287    0.740226    0.810333   0.0206799
         288    0.741901    0.810095   0.0206095
         289    0.743596    0.809865   0.0205394
         290    0.745308    0.809642   0.0204698
         291    0.747038    0.809427   0.0204006
         292    0.748783     0.80922   0.0203318
         293    0.750542    0.809019   0.0202634
         294    0.752315    0.808826   0.0201954
         295      0.7541    0.808641   0.0201278
         296    0.755897    0.808463   0.0200606
         297    0.757704    0.808292   0.0199937
         298     0.75952    0.808128   0.0199273
         299    0.761344    0.807972   0.0198613
         300    0.763174    0.807822   0.0197956
         301    0.765009     0.80768   0.0197304
         302     0.76685    0.807545   0.0196655
         303    0.768695    0.807417    0.019601
         304    0.770542    0.807295   0.0195369
         305    0.772389    0.807181   0.0194732
         306    0.774237    0.807073   0.0194099
         307    0.776085    0.806972   0.0193469
         308     0.77793    0.806878   0.0192843
         309    0.779772     0.80679   0.0192221
         310    0.781609    0.806709   0.0191603
         311    0.783439    0.806634   0.0190988
         312    0.785262    0.806566   0.0190377
         313    0.787077    0.806503    0.018977
         314    0.788882    0.806447   0.0189167
         315    0.790677    0.806397   0.0188567
         316    0.792461    0.806353    0.018797
         317    0.794233    0.806315   0.0187378
         318    0.795992    0.806282   0.0186789
         319    0.797736    0.806256   0.0186204
         320    0.799465    0.806234   0.0185622
         321    0.801177    0.806219   0.0185044
         322     0.80287    0.806208   0.0184469
         323    0.804544    0.806203   0.0183898
         324    0.806199    0.806203    0.018333
         325    0.807834    0.806208   0.0182766
         326    0.809448    0.806218   0.0182206
         327    0.811039    0.806233   0.0181648
         328    0.812606    0.806252   0.0181095
         329    0.814147    0.806276   0.0180544
         330    0.815664    0.806305   0.0179998
         331    0.817154    0.806338   0.0179454
         332    0.818617    0.806375   0.0178914
         333    0.820051    0.806416   0.0178377
         334    0.821457    0.806461   0.0177844
         335    0.822834    0.806509   0.0177313
         336    0.824181    0.806562   0.0176787
         337    0.825497    0.806618   0.0176263
         338    0.826782    0.806678   0.0175742
         339    0.828036    0.806741   0.0175225
         340    0.829256    0.806807   0.0174711
         341    0.830442    0.806876     0.01742
         342    0.831594    0.806949   0.0173692
         343    0.832711    0.807024   0.0173187
         344    0.833793    0.807102   0.0172686
         345    0.834838    0.807182   0.0172187
         346    0.835847    0.807265   0.0171691
         347     0.83682     0.80735   0.0171199
         348    0.837756    0.807437   0.0170709
         349    0.838656    0.807527   0.0170222
         350    0.839519    0.807618   0.0169738
         351    0.840345    0.807712   0.0169257
         352    0.841133    0.807806   0.0168779
         353    0.841882    0.807903   0.0168304
         354    0.842593    0.808001   0.0167831
         355    0.843266      0.8081   0.0167361
         356    0.843902    0.808201   0.0166894
         357    0.844499    0.808303    0.016643
         358    0.845059    0.808405   0.0165968
         359     0.84558    0.808509   0.0165509
         360    0.846064    0.808613   0.0165053
         361    0.846509    0.808718   0.0164599
         362    0.846916    0.808824   0.0164147
         363    0.847285     0.80893   0.0163699
         364    0.847617    0.809036   0.0163252
         365    0.847911    0.809142   0.0162808
         366    0.848168    0.809249   0.0162367
         367    0.848389    0.809356   0.0161928
         368    0.848574    0.809462   0.0161492
         369    0.848723    0.809569   0.0161058
         370    0.848839    0.809675   0.0160626
         371    0.848919    0.809781   0.0160196
         372    0.848965    0.809886   0.0159769
         373    0.848976    0.809991   0.0159344
         374    0.848954    0.810095   0.0158922
         375    0.848901    0.810198   0.0158501
         376    0.848815    0.810301   0.0158083
         377    0.848699    0.810403   0.0157667
         378    0.848552    0.810504   0.0157253
         379    0.848374    0.810604   0.0156841
         380    0.848165    0.810703   0.0156432
         381    0.847927      0.8108   0.0156024
         382    0.847659    0.810897   0.0155619
         383    0.847362    0.810992   0.0155215
         384    0.847036    0.811086   0.0154814
         385    0.846684    0.811178   0.0154415
         386    0.846305    0.811269   0.0154017
         387      0.8459    0.811359   0.0153622
         388    0.845469    0.811447   0.0153228
         389    0.845012    0.811533   0.0152837
         390     0.84453    0.811618   0.0152447
         391    0.844023      0.8117    0.015206
         392    0.843492    0.811782   0.0151674
         393    0.842937    0.811861    0.015129
         394    0.842359    0.811938   0.0150908
         395    0.841758    0.812014   0.0150528
         396    0.841134    0.812087    0.015015
         397    0.840489    0.812159   0.0149773
         398    0.839821    0.812228   0.0149398
         399    0.839134    0.812296   0.0149026
         400    0.838425    0.812361   0.0148654
         401    0.837696    0.812424   0.0148285
         402    0.836948    0.812485   0.0147917
         403    0.836181    0.812544   0.0147552
         404    0.835395    0.812601   0.0147187
         405     0.83459    0.812655   0.0146825
         406    0.833766    0.812707   0.0146464
         407    0.832925    0.812757   0.0146105
         408    0.832066    0.812804   0.0145748
         409     0.83119    0.812849   0.0145392
         410    0.830299    0.812891   0.0145038
         411    0.829392    0.812932   0.0144686
         412     0.82847    0.812969   0.0144335
         413    0.827533    0.813005   0.0143986
         414    0.826582    0.813037   0.0143639
         415    0.825617    0.813068   0.0143293
         416    0.824636    0.813095   0.0142949
         417    0.823643    0.813121   0.0142606
         418    0.822637    0.813144   0.0142265
         419    0.821618    0.813164   0.0141926
         420    0.820586    0.813181   0.0141588
         421    0.819542    0.813197   0.0141252
         422    0.818485    0.813209   0.0140917
         423    0.817417    0.813219   0.0140584
         424     0.81634    0.813226   0.0140252
         425    0.815251    0.813231   0.0139922
         426    0.814154    0.813233   0.0139594
         427    0.813047    0.813233   0.0139267
         428     0.81193     0.81323   0.0138942
         429    0.810806    0.813224   0.0138618
         430    0.809675    0.813216   0.0138296
         431    0.808536    0.813205   0.0137975
         432     0.80739    0.813192   0.0137655
         433    0.806237    0.813176   0.0137338
         434    0.805078    0.813157   0.0137021
         435    0.803913    0.813136   0.0136706
         436    0.802744    0.813112   0.0136393
         437    0.801572    0.813085   0.0136081
         438    0.800396    0.813056   0.0135771
         439    0.799218    0.813025   0.0135462
         440    0.798038    0.812991   0.0135154
         441    0.796858    0.812954   0.0134848
         442    0.795678    0.812915   0.0134544
         443    0.794498    0.812874   0.0134241
         444     0.79332     0.81283   0.0133939
         445    0.792143    0.812783   0.0133639
         446    0.790971    0.812734    0.013334
         447    0.789801    0.812683   0.0133043
         448    0.788636    0.812629   0.0132747
         449    0.787477    0.812573   0.0132453
         450    0.786324    0.812515    0.013216
         451    0.785177    0.812454   0.0131868
         452    0.784039    0.812391   0.0131578
         453    0.782911    0.812326   0.0131289
         454    0.781792    0.812259   0.0131001
         455    0.780683     0.81219   0.0130715
         456    0.779585    0.812118   0.0130431
         457      0.7785    0.812045   0.0130147
         458    0.777428    0.811969   0.0129865
