#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         328     8.81944     9.42299   0.0424944
         329     8.93706     9.42152   0.0423909
         330     9.10849     9.42057    0.042273
         331     9.04057     9.41942   0.0421609
         332     9.04216     9.41828   0.0420492
         333     8.88114     9.41667   0.0419539
         334     8.83694     9.41494   0.0418641
         335     8.71503     9.41285   0.0417913
         336     8.41564     9.40988   0.0417721
         337     9.02142     9.40873   0.0416641
         338       9.187     9.40807    0.041546
         339     9.34832     9.40789   0.0414238
         340     9.09199     9.40696   0.0413124
         341     8.90208     9.40548   0.0412178
         342     8.84448     9.40384   0.0411299
         343     8.70125     9.40179   0.0410609
         344     8.44002       9.399   0.0410366
         345     8.79568     9.39725   0.0409549
         346     8.77065     9.39544   0.0408766
         347     8.81536     9.39377    0.040793
         348     8.89588     9.39234   0.0407008
         349     9.68256     9.39317   0.0405927
         350     9.65987     9.39393   0.0404839
         351     10.0638     9.39584   0.0404135
         352     10.1963     9.39811   0.0403626
         353     10.2588     9.40055   0.0403218
         354     10.1413     9.40264   0.0402622
         355     10.4012     9.40546   0.0402469
         356     10.4007     9.40825   0.0402309
         357     9.75447     9.40922   0.0401298
         358      9.7512     9.41018   0.0400291
         359     9.50547     9.41044   0.0399185
         360     9.17247     9.40978   0.0398131
         361     8.75976     9.40798   0.0397435
         362     9.08005     9.40708    0.039644
         363     9.10755     9.40625   0.0395434
         364     9.14147     9.40552   0.0394415
         365     9.22187     9.40502   0.0393366
         366     8.79905     9.40336    0.039264
         367     9.06897     9.40245   0.0391675
         368     9.38407      9.4024   0.0390611
         369     9.80975     9.40351   0.0389709
         370     9.60756     9.40406   0.0388695
         371     9.86545      9.4053   0.0387846
         372     10.2238      9.4075   0.0387427
         373     10.4927     9.41041   0.0387479
         374     10.5255     9.41339   0.0387588
         375     10.0863     9.41519    0.038697
         376     10.5442     9.41819   0.0387104
         377     10.5773     9.42126   0.0387296
         378     10.2321     9.42341   0.0386865
         379     10.2978     9.42572   0.0386532
         380     10.5332     9.42863   0.0386612
         381      10.359     9.43107   0.0386367
         382     10.1907     9.43306   0.0385867
         383     10.4959     9.43584   0.0385856
         384     10.0584     9.43746   0.0385192
         385     10.1758     9.43938   0.0384669
         386     10.0958     9.44108   0.0384048
         387     9.83934     9.44211   0.0383193
         388     9.32301      9.4418   0.0382218
         389     9.35443     9.44157   0.0381242
         390     9.70015     9.44224   0.0380322
         391     9.73059     9.44297   0.0379421
         392     9.69068     9.44361   0.0378506
         393     9.57626     9.44394   0.0377558
         394     9.66211      9.4445    0.037664
         395      9.5878     9.44486   0.0375704
         396     9.80663     9.44577   0.0374866
         397     9.43409     9.44574   0.0373922
         398     10.0174     9.44718   0.0373258
         399     10.1418     9.44892   0.0372729
         400      10.042      9.4504   0.0372092
         401     10.5275     9.45309   0.0372132
         402     10.6021     9.45595   0.0372302
         403     10.5277     9.45861   0.0372327
         404     10.2765     9.46063   0.0371955
         405     9.60174     9.46098   0.0371053
         406     9.76002     9.46172   0.0370212
         407     9.45902     9.46171   0.0369303
         408     9.45199     9.46169   0.0368398
         409     9.28078     9.46124   0.0367523
         410     9.75113     9.46195   0.0366695
         411     9.68884      9.4625   0.0365844
         412     10.0731     9.46399   0.0365256
         413     9.71794      9.4646   0.0364424
         414     9.93908     9.46575   0.0363724
         415     9.70653     9.46633   0.0362894
         416     9.48067     9.46636   0.0362021
         417      9.1241     9.46554   0.0361246
         418     9.04917     9.46454   0.0360519
         419     9.18294     9.46387   0.0359722
         420     9.06108     9.46291   0.0358993
         421     8.85276     9.46146   0.0358433
         422     8.85581     9.46003    0.035787
         423     9.34735     9.45976   0.0357034
         424     9.25899     9.45929   0.0356224
         425     9.14661     9.45855   0.0355461
         426     9.42484     9.45847   0.0354628
         427     8.89605     9.45716   0.0354042
         428     8.97076     9.45602   0.0353397
         429     9.09353     9.45518   0.0352674
         430     9.32205     9.45487   0.0351868
         431     9.57903     9.45515   0.0351063
         432     9.44407     9.45513   0.0350251
         433     9.58335     9.45542   0.0349454
         434      9.5297      9.4556   0.0348653
         435      9.7197      9.4562   0.0347905
         436     9.44002     9.45617   0.0347107
         437     9.69373     9.45671   0.0346355
         438     8.98156     9.45562   0.0345734
         439     9.13085     9.45488   0.0345026
         440      8.9065     9.45364   0.0344467
         441     8.83084     9.45223   0.0343975
         442     8.79773     9.45075   0.0343515
         443     8.86513     9.44942   0.0342994
         444     9.25696     9.44899   0.0342249
         445     9.23984     9.44852   0.0341512
         446     9.11652     9.44778   0.0340828
         447     9.28657     9.44741   0.0340084
         448     9.40939     9.44733   0.0339326
         449     9.16567      9.4467   0.0338628
         450     9.07876     9.44589   0.0337975
         451     9.26803     9.44549   0.0337248
         452     9.47196     9.44555   0.0336503
         453     9.68816     9.44608   0.0335802
         454      9.5544     9.44632   0.0335071
         455      9.8407     9.44719   0.0334447
         456     9.69717     9.44774   0.0333758
         457     9.59646     9.44806   0.0333044
         458     9.70263     9.44862   0.0332363
         459     9.92489     9.44966   0.0331801
         460     9.69857      9.4502   0.0331124
         461     9.48387     9.45027   0.0330406
         462     9.51914     9.45042   0.0329694
         463     9.27546     9.45004   0.0329004
         464     9.19428     9.44949   0.0328341
         465     9.63427     9.44989   0.0327659
         466      9.1513     9.44925   0.0327019
         467     9.50746     9.44937   0.0326321
         468     9.36212     9.44919   0.0325629
         469     9.01266     9.44826   0.0325067
         470     9.44585     9.44825   0.0324376
         471     9.84664      9.4491   0.0323797
         472      9.9138     9.45008   0.0323261
         473     9.83364     9.45089   0.0322679
         474     9.90663     9.45185   0.0322142
         475     9.41327     9.45177   0.0321465
         476     9.45207     9.45177   0.0320789
         477     9.31745     9.45149   0.0320129
         478     9.15829     9.45088   0.0319518
         479      9.5606     9.45111   0.0318859
         480     9.47312     9.45115   0.0318195
         481     9.21168     9.45065   0.0317573
         482     9.75256     9.45128   0.0316976
         483     9.45868      9.4513   0.0316319
         484      9.2991     9.45098   0.0315681
