#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         223     1.53168     1.46496   0.0844647
         224     1.99636     1.46733   0.0841209
         225     1.92452     1.46937   0.0837716
         226     2.07727     1.47206   0.0834441
         227     1.92325     1.47404   0.0831002
         228     2.05785      1.4766   0.0827752
         229     1.67154     1.47745   0.0824181
         230     1.95901     1.47955   0.0820863
         231     2.24102     1.48284   0.0817971
         232     1.69328     1.48375   0.0814496
         233     1.86853      1.4854   0.0811168
         234     1.91049     1.48722   0.0807904
         235     2.12636     1.48994   0.0804924
         236     1.87405     1.49157   0.0801678
         237     1.72867     1.49257   0.0798358
         238     1.90774     1.49431   0.0795194
         239      2.0887      1.4968   0.0792256
         240     2.24325     1.49991   0.0789565
         241     1.81545     1.50122   0.0786397
         242     2.15389     1.50392    0.078361
         243     2.16509     1.50664   0.0780857
         244     2.13625     1.50922   0.0778083
         245     2.02711     1.51133   0.0775195
         246     1.58891     1.51165    0.077205
         247     2.29765     1.51483    0.076958
         248     2.07625     1.51709   0.0766809
         249     2.06986     1.51931   0.0764051
         250     2.43512     1.52298   0.0761873
         251     2.60646     1.52729   0.0760059
         252     2.06226     1.52941   0.0757339
         253     1.83987     1.53064   0.0754445
         254     1.79429     1.53168   0.0751547
         255     2.12219       1.534   0.0748956
         256     1.88365     1.53536   0.0746155
         257     1.72411      1.5361   0.0743288
         258     1.10813     1.53444   0.0740592
         259       1.359     1.53376   0.0737763
         260     1.33055     1.53298   0.0734967
         261     1.72273      1.5337   0.0732187
         262     2.00563     1.53551   0.0729614
         263     1.63271     1.53588   0.0726849
         264     1.64913      1.5363   0.0724109
         265     1.95904      1.5379   0.0721552
         266     2.06621     1.53989   0.0719113
         267     2.08782     1.54194   0.0716712
         268      2.6024      1.5459   0.0715129
         269     2.29568     1.54868   0.0713014
         270     2.07078     1.55062   0.0710635
         271     1.75193     1.55136   0.0708052
         272     1.31753      1.5505   0.0705501
         273     1.40025     1.54995   0.0702938
         274     1.46073     1.54962    0.070038
         275     1.50866     1.54947   0.0697835
         276     1.47854     1.54922   0.0695311
         277     1.64321     1.54956   0.0692809
         278     2.00386     1.55119    0.069051
         279     2.04848     1.55297   0.0688265
         280     2.18171     1.55522   0.0686173
         281     2.17773     1.55743   0.0684089
         282     2.18187     1.55965   0.0682021
         283     2.24219     1.56206   0.0680037
         284     2.02622     1.56369   0.0677839
         285     2.03986     1.56537   0.0675667
         286     2.00045     1.56689   0.0673476
         287     2.28811      1.5694   0.0671598
